leaked_bits,sigma,m,seed,epochs,cnn_test_bit_accuracy,cnn_test_prefix_accuracy,cnn_test_exact_prefixes,oracle_hnp_key_recovered,cnn_hnp_key_recovered,hnp_backend,oracle_hnp_runtime_seconds,cnn_hnp_runtime_seconds,oracle_hnp_error,cnn_hnp_error
14,0.1,40,1011,,1.0,1.0,40,,True,fpylll,,0.0958915350001916,,
8,0.15,40,1011,,1.0,1.0,40,,False,fpylll,,0.0974658149998504,,
10,0.15,40,1011,,1.0,1.0,40,,True,fpylll,,0.1228325000001859,,
12,0.15,40,1011,,1.0,1.0,40,,True,fpylll,,0.1037994099997376,,
14,0.15,40,1011,,1.0,1.0,40,,True,fpylll,,0.0929683629992723,,
8,0.2,40,1011,,0.99375,0.95,38,,False,fpylll,,0.0914792079993276,,
10,0.2,40,1011,,0.99,0.925,37,,True,fpylll,,0.0933831980000832,,
12,0.2,40,1011,,0.9875,0.925,37,,True,fpylll,,0.09574524799973,,
14,0.2,40,1011,,0.9892857142857144,0.925,37,,True,fpylll,,0.1135887390000789,,
8,0.0,40,1012,,1.0,1.0,40,,False,fpylll,,0.1086932440002783,,
10,0.0,40,1012,,1.0,1.0,40,,True,fpylll,,0.0957982890004132,,
12,0.0,40,1012,,1.0,1.0,40,,True,fpylll,,0.0959628629998405,,
14,0.0,40,1012,,1.0,1.0,40,,True,fpylll,,0.6575112519994946,,
8,0.05,40,1012,,1.0,1.0,40,,False,fpylll,,0.148031584999444,,
10,0.05,40,1012,,1.0,1.0,40,,True,fpylll,,0.6227053560005515,,
12,0.05,40,1012,,1.0,1.0,40,,True,fpylll,,0.3566695570007141,,
14,0.05,40,1012,,1.0,1.0,40,,True,fpylll,,2.245633907999945,,
8,0.1,40,1012,,1.0,1.0,40,,False,fpylll,,0.4661043719997906,,
10,0.1,40,1012,,1.0,1.0,40,,True,fpylll,,1.5142632440001762,,
12,0.1,40,1012,,1.0,1.0,40,,True,fpylll,,0.5564057650008181,,
14,0.1,40,1012,,1.0,1.0,40,,True,fpylll,,0.1198576910001065,,
8,0.15,40,1012,,1.0,1.0,40,,False,fpylll,,0.1011286419998214,,
10,0.15,40,1012,,1.0,1.0,40,,True,fpylll,,0.128947696999603,,
12,0.15,40,1012,,1.0,1.0,40,,True,fpylll,,0.2021368599998823,,
14,0.15,40,1012,,1.0,1.0,40,,True,fpylll,,0.1208073560001139,,
8,0.2,40,1012,,0.9875,0.95,38,,False,fpylll,,0.1658218549991943,,
10,0.2,40,1012,,0.99,0.95,38,,True,fpylll,,0.0998835219998,,
12,0.2,40,1012,,0.9854166666666668,0.9,36,,True,fpylll,,0.0936511970003266,,
14,0.2,40,1012,,0.9857142857142858,0.9,36,,True,fpylll,,0.0965892780004651,,
8,0.0,40,1013,,1.0,1.0,40,,False,fpylll,,0.0982804300001589,,
10,0.0,40,1013,,1.0,1.0,40,,True,fpylll,,0.0936011889998553,,
12,0.0,40,1013,,1.0,1.0,40,,True,fpylll,,0.1079898019997926,,
14,0.0,40,1013,,1.0,1.0,40,,True,fpylll,,0.1108049990007202,,
8,0.05,40,1013,,1.0,1.0,40,,False,fpylll,,0.1057880609996573,,
10,0.05,40,1013,,1.0,1.0,40,,True,fpylll,,0.097359002000303,,
12,0.05,40,1013,,1.0,1.0,40,,True,fpylll,,0.0948404450000452,,
14,0.05,40,1013,,1.0,1.0,40,,True,fpylll,,0.1120537799997691,,
8,0.1,40,1013,,1.0,1.0,40,,False,fpylll,,0.092902301000322,,
10,0.1,40,1013,,1.0,1.0,40,,True,fpylll,,0.0937638830000651,,
12,0.1,40,1013,,1.0,1.0,40,,True,fpylll,,0.0944428530001459,,
14,0.1,40,1013,,1.0,1.0,40,,True,fpylll,,0.0903370169999107,,
8,0.15,40,1013,,1.0,1.0,40,,False,fpylll,,0.1370269749995714,,
10,0.15,40,1013,,1.0,1.0,40,,True,fpylll,,0.1053669569992052,,
12,0.15,40,1013,,1.0,1.0,40,,True,fpylll,,0.0936034110000036,,
14,0.15,40,1013,,1.0,1.0,40,,True,fpylll,,0.0926364239994654,,
8,0.2,40,1013,,0.96875,0.85,34,,False,fpylll,,0.0918048100002124,,
10,0.2,40,1013,,0.97,0.85,34,,True,fpylll,,0.1225192140000217,,
12,0.2,40,1013,,0.9729166666666668,0.85,34,,True,fpylll,,0.1005776450001576,,
14,0.2,40,1013,,0.975,0.85,34,,True,fpylll,,0.0968136740002592,,
8,0.0,40,1014,,1.0,1.0,40,,False,fpylll,,0.0905484810000416,,
10,0.0,40,1014,,1.0,1.0,40,,True,fpylll,,0.1066258559994821,,
12,0.0,40,1014,,1.0,1.0,40,,True,fpylll,,0.0940047590001995,,
14,0.0,40,1014,,1.0,1.0,40,,True,fpylll,,0.1151535070002864,,
8,0.05,40,1014,,1.0,1.0,40,,False,fpylll,,0.0931009639998592,,
10,0.05,40,1014,,1.0,1.0,40,,True,fpylll,,0.0954527989997586,,
12,0.05,40,1014,,1.0,1.0,40,,True,fpylll,,0.0938714959993376,,
14,0.05,40,1014,,1.0,1.0,40,,True,fpylll,,0.0898530069998742,,
8,0.1,40,1014,,1.0,1.0,40,,False,fpylll,,0.0932182619999366,,
10,0.1,40,1014,,1.0,1.0,40,,True,fpylll,,0.095899380999981,,
12,0.1,40,1014,,1.0,1.0,40,,True,fpylll,,0.0927468769996266,,
14,0.1,40,1014,,1.0,1.0,40,,True,fpylll,,1.88307529299982,,
8,0.15,40,1014,,1.0,1.0,40,,False,fpylll,,0.1237055660003534,,
10,0.15,40,1014,,1.0,1.0,40,,True,fpylll,,0.2406588260000717,,
12,0.15,40,1014,,1.0,1.0,40,,True,fpylll,,0.2872475060003125,,
14,0.15,40,1014,,1.0,1.0,40,,True,fpylll,,0.4605150220004361,,
8,0.2,40,1014,,0.9875,0.95,38,,False,fpylll,,0.1916205299994544,,
10,0.2,40,1014,,0.99,0.95,38,,True,fpylll,,1.5873527760004436,,
